ID,Beschreibung,Kategorie ID,Kategorietext,Unterkategorie ID,Unterkategorietext,Ticket Label,Abteilung Label,Produkt Label,Priorität,Status,Angelegt Am,Angelegt Von,Geändert Am,Geändert Von,Auftraggeber,Meldender,Support Team,Bearbeiter,Erste Nachricht,Letzte Nachricht
2000015115,Probleme mit Rücksetzung? ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	07:43:32,H2831AK1 ,2024.03.24	18:00:51,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.04	07:43:30,2024.03.24	18:00:51
2000015116,Neues Curriculum ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.04	07:49:27,H2831AK1 ,2024.04.07	18:00:07,BORYS ,H2831 Technische Hochschule Rosenheim ,H2831AK1 Herr Andreas Krüger ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.04	07:49:26,2024.04.07	18:00:07
2000015117,FIORI Website Down ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	09:17:47,H2851US4 ,2024.03.11	08:25:27,H2851US4 ,U2IL023 Jerusalem College of Technology Lev Academic Center ,U2IL023AA1 Herr Avichai Agai ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.04	09:17:46,2024.03.04	12:09:52
2000015118,Connection to Application Server Broken ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	10:15:35,H2851US4 ,2024.03.04	10:21:37,H2851US4 , , ,0000000046 BAS Basis ,,2024.03.04	10:15:35,2024.03.04	10:15:35
2000015119,Poblem with connecting to the system ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	10:26:25,H2851US4 ,2024.03.11	08:29:50,H2851US4 ,U2ES001 Public University of Navarra - UPNA ,U2ES001SS1 Herr Santiago SAnchez-Alegria ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.04	10:26:25,2024.03.04	12:07:51
2000015120,SAP Server Down ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	11:25:41,H2851US4 ,2024.03.11	08:43:16,H2851US4 ,H2451 Universität Duisburg-Essen UDE ,H2451MW1 Frau Mareen Wienand ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.04	11:25:41,2024.03.04	12:08:37
2000015121,Problem: Connection to the server ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	11:31:16,H2851US4 ,2024.03.11	08:42:23,H2851US4 ,U2ES001 Public University of Navarra - UPNA ,U2ES001AO1 Frau Andrea Ollo-Lopez ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.04	11:31:16,2024.03.04	12:10:59
2000015122,SAP GUI und FIORI nicht erreichbar ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	11:33:08,H2851US4 ,2024.03.11	09:09:50,H2851US4 ,H2371 Georg-August-Universität Göttingen ,H2371TM1 Herr Tamino Marahrens ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.04	11:33:08,2024.03.04	12:14:29
2000015123,SAP UI5 ,ZSD_SR_ES ,SAP ERP Entwicklungssystem ,ZSD_SR_ES_SON ,Sonstiges ,2. Level ,Applikation ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.03.04	11:51:38,H2971DP1 ,2024.03.25	18:00:03,BORYS ,H2971 Berufliches Schulzentrum für Wirtschaft und Datenverarbeitung ,H2971DP1 Herr Dominik Plonka ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.03.04	11:51:38,2024.03.25	18:00:03
2000015124,Server nicht erreichbar ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	11:56:22,H2851US4 ,2024.03.11	08:27:18,H2851US4 ,H2514 Kaufmännisches Berufskolleg Oberberg ,H2514AG1 Herr Andreas Große Frie ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.04	11:56:21,2024.03.04	11:59:34
2000015125,MASTER and STUDENTS ACCESS ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.04	13:22:56,U2PT022FE1 ,2024.03.05	17:17:06,H2851NW2 ,U2PT022 Instituto Politécnico de Setúbal ,U2PT022FE1 Herr Francisco Esteves ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.04	13:22:56,2024.03.05	17:16:58
2000015126,Hilfeaufruf ,ZSD_SR_GBI ,SAP ERP GBI , , ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.04	14:54:15,H2891GW1 ,2024.03.24	18:00:49,BORYS ,H2891 Hochschule Neu-Ulm ,H2891GW1 Herr Gerhard Welte ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.03.04	14:54:15,2024.03.24	18:00:49
2000015127,MASTER and STUDENTS ACCESS ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.04	16:11:36,U2PT022FE1 ,2024.03.25	18:00:04,BORYS ,U2PT022 Instituto Politécnico de Setúbal ,U2PT022FE1 Herr Francisco Esteves ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.04	16:11:36,2024.03.25	18:00:04
2000015128,Sichern von Produktstammdaten ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_FP ,Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.04	19:17:53,H2661CL1 ,2024.03.27	18:00:24,BORYS ,H2661 ASW gGmbH ,H2661CL1 Herr Christoph Lauterbach ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.04	19:17:53,2024.03.27	18:00:24
2000015129,Posting Issue in Step 12 of MM S25/302 ,ZSD_SR_GBI ,SAP ERP GBI , , ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.03.05	01:00:20,U2AU002SB1 ,2024.03.25	18:00:05,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.05	01:00:20,2024.03.25	18:00:05
2000015130,SAP S/4 HANA HELP - LECTURER ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_FP ,Fallstudienproblem ,1. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.03.05	14:46:00,H2851US4 ,2024.03.25	18:00:06,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.05	14:45:59,2024.03.25	18:00:06
2000015131,Materials Management (MM) - case study ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.05	16:05:00,U2GB050MK1 ,2024.03.26	18:00:10,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.05	16:05:00,2024.03.26	18:00:10
2000015132,VALUATION AREA ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation , ,3: mittel ,E0008 Quittiert ,2024.03.05	16:33:53,U2GB050MK1 ,2024.03.26	18:00:11,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.05	16:33:53,2024.03.26	18:00:11
2000015133,VALUATION AREA ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.05	17:29:55,U2GB050MK1 ,2024.03.26	18:00:11,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.05	17:29:55,2024.03.26	18:00:11
2000015134,Interface SAP S4- Visual Component ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.06	07:54:28,U2ES029JC1 ,2024.03.26	18:00:12,BORYS ,U2ES029 Universidad Antonio de Nebrija ,U2ES029JC1 Herr JAVIER CONDE ALVARO ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.03.06	07:54:27,2024.03.26	18:00:12
2000015135,App loading/access issues for LEARN-125 ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_FP ,Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.06	11:19:41,U2GB041GK1 ,2024.04.16	18:00:13,BORYS ,U2GB041 University of Greenwich ,U2GB041GK1 Herr Gerhard Kristandl ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.06	11:19:41,2024.04.16	18:00:13
2000015136,Fehlermeldung beim Rücksetzen von S12 ,ZSD_SR_AA ,Allgemeine Anfragen , , ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.07	09:05:20,H2942AR1 ,2024.03.11	09:22:15,H2942AR1 ,H2942 THD Technische Hochschule Deggendorf ,H2942AR1 Herr Andreas Rankl ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.03.07	09:05:20,2024.03.11	08:53:36
2000015137,Client Reset Mandant 301 und 302 ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_MR ,Mandantenrücksetzung ,2. Level ,Basis ,GBI ,3: mittel ,E0005 Lösungsvorschlag ,2024.03.07	09:20:42,H2781JW2 ,2024.04.15	14:17:43,H2851NW2 ,H2781 Hochschule Furtwangen ,H2781JW2 Herr Jürgen Weiner ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.07	09:20:42,2024.04.15	14:17:43
2000015138,Poor performance ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.07	09:41:08,H2851US4 ,2024.04.16	18:00:13,MASTER-ADM ,U2ES006 Autonomous University of Barcelona ,U2ES006JC1 Herr Joan Caballero ,0000040551 APP Applikation ,H2851FE1 Herr Florian Eckhard,2024.03.07	09:41:07,2024.04.16	18:00:13
2000015139,UI5 Exercise Flight Monitor ,ZSD_SR_ES ,SAP ERP Entwicklungssystem ,ZSD_SR_ES_SON ,Sonstiges ,2. Level ,Applikation ,Entwicklungssystem bzw. Mandant ,3: mittel ,E0008 Quittiert ,2024.03.07	13:53:13,H2951SR1 ,2024.04.01	18:00:16,BORYS ,H2951 Staatl. Berufliches Schulzentrum Wiesau ,H2951SR1 Herr Stephan Rippert ,0000040551 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.03.07	13:53:11,2024.04.01	18:00:16
2000015140,System lädt sehr lange ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.07	16:55:22,H2371LW1 ,2024.03.31	18:00:22,BORYS ,H2371 Georg-August-Universität Göttingen ,H2371LW1 Herr Lars Wilhelmi ,0000040551 APP Applikation ,H2851FE1 Herr Florian Eckhard,2024.03.07	16:55:21,2024.03.31	18:00:22
2000015141,Reset client ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_MR ,Mandantenrücksetzung ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.07	17:11:32,U2IT017MH1 ,2024.03.26	11:00:39,U2IT017MH1 ,U2IT017 Libera Università di Bolzano - ,U2IT017MH1 Herr Matthias Heiler ,0000000044 UCC UCC Supportteam ,H2851NW2 Frau Nathalie Wolf,2024.03.07	17:11:32,2024.03.25	11:06:45
2000015150,Fehlerhafter Mandant 825! ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_SON ,Sonstiges ,2. Level , , ,1: sehr hoch ,E0005 Lösungsvorschlag ,2024.03.08	09:28:28,H2808HD1 ,2024.04.15	13:40:50,H2851NW2 ,H2808 Staatsinstitut für Schulqualität und Bildungsforschung München - ISB ,H2808HD1 Herr Harald Decker ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.08	09:28:28,2024.04.15	13:40:50
2000015151,Upgrade to new version 4.2 GB ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.08	10:24:30,U2IT017ND1 ,2024.03.28	18:00:25,BORYS ,U2IT017 Libera Università di Bolzano - ,U2IT017ND1 Herr Nicola Dalla Via ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.08	10:24:30,2024.03.28	18:00:25
2000015152,Other ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.08	17:40:11,U2PT022MG1 ,2024.04.20	18:00:07,MASTER-ADM ,U2PT022 Instituto Politécnico de Setúbal ,U2PT022MG1 Frau Marine Gille ,0000000044 UCC UCC Supportteam ,H2851SF2 Herr Simon Fuchs,2024.03.08	17:40:11,2024.04.20	18:00:07
2000015153,Password Reset S25/300 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_PRM ,Passwortrücksetzung für Masteruser ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.11	01:16:13,U2AU002SB1 ,2024.03.31	18:00:24,BORYS ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.11	01:16:13,2024.03.31	18:00:24
2000015154,Bestellung notwendiger Unterlagen/Ordner,ZSD_SR_TERP ,TERP10/TS410 ,ZSD_SR_TERP_ANF ,TERP10/TS410 Anfrage ,2. Level ,Applikation ,TS410 ,3: mittel ,E0008 Quittiert ,2024.03.11	08:52:35,H2941JK1 ,2024.03.11	14:49:42,H2851AF4 ,H2941 EDV-Schulen des Landkreises Deggendorf ,H2941JK1 Herr Josef Kerscher ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.03.11	08:52:35,2024.03.11	14:20:36
2000015155,I can not logon with Master user. ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_PRM ,Passwortrücksetzung für Masteruser ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.11	10:13:13,U2TR006BB1 ,2024.03.31	18:00:24,BORYS ,U2TR006 Beykent University ,U2TR006BB1 Frau Betül Bulut ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.11	10:13:13,2024.03.31	18:00:24
2000015156,Fehlermeldung bei Anmeldung ,ZSD_SR_BW ,SAP Business Warehouse ,ZSD_SR_BW_SE ,Systemverfügbarkeit ,2. Level ,Basis ,SAP Business Warehouse & Business Objects ,3: mittel ,E0005 Lösungsvorschlag ,2024.03.11	11:45:36,H2091SM1 ,2024.04.15	10:40:53,H2851MN3 ,H2091 Hochschule Mittweida ,H2091SM1 Frau Silke Meyer ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.03.11	11:45:36,2024.04.15	10:40:53
2000015157,MASTER Access denied (again) ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_PRM ,Passwortrücksetzung für Masteruser ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.11	11:58:14,U2PT022FE1 ,2024.04.02	18:00:16,BORYS ,U2PT022 Instituto Politécnico de Setúbal ,U2PT022FE1 Herr Francisco Esteves ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.11	11:58:14,2024.04.02	18:00:16
2000015158,Aktuelles Release für Entwicklungen ,ZSD_SR_ES ,SAP ERP Entwicklungssystem ,ZSD_SR_ES_SON ,Sonstiges ,2. Level ,Basis ,Entwicklungssystem bzw. Mandant ,3: mittel ,E0008 Quittiert ,2024.03.11	14:29:19,H2941JK1 ,2024.04.04	18:00:02,BORYS ,H2941 EDV-Schulen des Landkreises Deggendorf ,H2941JK1 Herr Josef Kerscher ,0000040551 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.03.11	14:29:19,2024.04.04	18:00:02
2000015159,Verlängerung SAP ME Account ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_SON ,Sonstiges ,1. Level ,Applikation ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.03.11	15:46:04,H2872CD1 ,2024.03.13	12:51:42,H2872CD1 ,H2872 Staatliche Berufsschule I Kempten http://www.bs1-kempten.de ,H2872CD1 Herr Claus Dorn ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.11	15:46:04,2024.03.11	18:59:30
2000015160,error message ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.11	19:28:01,U2GB050MK1 ,2024.04.02	18:00:14,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.11	19:28:01,2024.04.02	18:00:14
2000015161,Bereitstellung des neuen GB 4.2 Systems,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SR ,Systemrücksetzung ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.12	13:51:27,H2961EG1 ,2024.04.02	18:00:17,BORYS ,H2961 Hochschule Coburg ,H2961EG1 Herr Eduard Gerhardt ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.12	13:51:27,2024.04.02	18:00:17
2000015162,Unlock User U2ES006JM2 ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,1. Level ,Applikation ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.03.13	12:02:54,U2ES006XV1 ,2024.04.07	18:00:07,BORYS ,U2ES006 Autonomous University of Barcelona ,U2ES006XV1 Herr Xavier Verge ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.13	12:02:54,2024.04.07	18:00:07
2000015163,Ablauf meiner S-Kennung S0008006363 ,ZSD_SR_KTV ,Verwaltung ,ZSD_SR_VD_HUD ,H/U-User für Dozenten ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.13	15:59:52,H2961EG1 ,2024.04.02	18:00:14,BORYS ,H2961 Hochschule Coburg ,H2961EG1 Herr Eduard Gerhardt ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.03.13	15:59:52,2024.04.02	18:00:14
2000015164,conection ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_RL ,Remote Login ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.13	16:49:16,U2ES006JM2 ,2024.04.02	18:00:15,BORYS ,U2ES006 Autonomous University of Barcelona ,U2ES006JM2 Herr Juan Muñoz ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.03.13	16:49:16,2024.04.02	18:00:15
2000015165,Hi I dont have any app in my Customer S ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SON ,Sonstiges ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.13	17:57:37,U2ES006JM2 ,2024.04.02	18:00:16,BORYS ,U2ES006 Autonomous University of Barcelona ,U2ES006JM2 Herr Juan Muñoz ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.03.13	17:57:35,2024.04.02	18:00:15
2000015166,pp error message - step 5 ,ZSD_SR_HANA ,SAP HANA ,ZSD_SR_HANA_FP ,Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.13	17:58:07,U2GB050MK1 ,2024.04.03	18:00:28,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.13	17:58:07,2024.04.03	18:00:28
2000015167,CASESTUDY NARRATIVE ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.14	00:11:58,U2GB050MK1 ,2024.04.03	18:00:29,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.14	00:11:58,2024.04.03	18:00:29
2000015168,CASESTUDY NARRATIVE ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI/GBS Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.14	12:11:16,U2GB050MK1 ,2024.04.08	18:00:15,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.14	12:11:16,2024.04.08	18:00:15
2000015169,Passwort Masteruser ,ZSD_SR_S4SCH ,sap4school ,ZSD_SR_S4SCH_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.14	15:18:28,H2907SH1 ,2024.04.03	18:00:30,BORYS ,H2907 Berufliche Schule Direktorat 6 ,H2907SH1 Frau Stefanie Hitschfel ,0000000047 APP Applikation ,,2024.03.14	15:18:28,2024.04.03	18:00:30
2000015170,Master Data nicht bearbeitbar ,ZSD_SR_BW ,SAP Netweaver Business Warehouse ,ZSD_SR_BW_SKN ,Systemkonfiguration /Berechtigungsprobleme ,2. Level ,Applikation ,SAP Business Warehouse & Business Objects ,3: mittel ,E0008 Quittiert ,2024.03.14	16:44:49,H2091SM1 ,2024.04.04	18:00:03,BORYS ,H2091 Hochschule Mittweida ,H2091SM1 Frau Silke Meyer ,0000040551 APP Applikation ,H2851FE1 Herr Florian Eckhard,2024.03.14	16:44:49,2024.04.04	18:00:03
2000015171,issue when enter production order ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.14	17:45:43,U2GB050MK1 ,2024.04.08	18:00:19,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.14	17:45:43,2024.04.08	18:00:19
2000015172,Runtime error in S/4HANA ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level , , ,3: mittel ,E0003 Kundenaktion ,2024.03.14	18:20:13,U2RO003LH1 ,2024.03.19	11:27:57,H2851NW2 ,U2RO003 West University of Timisoara ,U2RO003LH1 Frau Luminita Hurbean ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.14	18:20:13,2024.03.19	11:27:57
2000015173,Student can not see compare supplier quo,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.14	21:41:05,U2GB050MK1 ,2024.04.10	18:00:12,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.14	21:41:05,2024.04.10	18:00:12
2000015174,save ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.14	22:47:04,U2GB050MK1 ,2024.04.08	18:00:16,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.14	22:47:04,2024.04.08	18:00:16
2000015175,user cant be validated ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.15	08:14:13,U2GB050MK1 ,2024.04.16	18:00:15,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.15	08:14:13,2024.04.16	18:00:15
2000015176,Passwort für H-User vergessen ,ZSD_SR_KTV ,Verwaltung , , ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.03.15	09:05:36,H2851US4 ,2024.04.04	18:00:04,BORYS ,H25912 BFW Hamm GmbH Berufsförderungswerk ,H25912CK1 Herr Christian Knecht ,0000040551 APP Applikation ,H2851US4 Herr UCC Support,2024.03.15	09:05:36,2024.04.04	18:00:04
2000015177,IPsec Tunnel ,ZSD_SR_ES ,SAP ERP Entwicklungssystem ,ZSD_SR_ES_SE ,System Erreichbarkeit ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0002 In Bearbeitung ,2024.03.15	09:37:17,H2851TT7 ,2024.04.24	15:29:23,H2921CH2 ,H2921 Ostbayerische Technische Hochschule Amberg-Weiden ,H2921CH2 Herr Christoph Hammer ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.03.15	09:37:16,2024.04.24	15:29:23
2000015178,ANSWER TO QUESTION ,ZSD_SR_S4HANA ,SAP S/4 HANA ,ZSD_SR_S4HANA_FP ,Fallstudienproblem ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.03.15	13:56:30,U2GB050MK1 ,2024.04.10	18:00:13,BORYS ,U2GB050 Ulster University ,U2GB050MK1 Frau Monica Kelly ,0000040551 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.03.15	13:56:30,2024.04.10	18:00:13
